,Lamp5_Fam19a1_Pax6,Lamp5_Fam19a1_Tmem182,Lamp5_Krt73,Lamp5_Lhx6,Lamp5_Lsp1,Lamp5_Ntn1_Npy2r,Lamp5_Plch2_Dock5,Pvalb_Akr1c18_Ntf3,Pvalb_Calb1_Sst,Pvalb_Gabrg1,Pvalb_Gpr149_Islr,Pvalb_Reln_Itm2a,Pvalb_Reln_Tac1,Pvalb_Sema3e_Kank4,Pvalb_Th_Sst,Pvalb_Tpbg,Pvalb_Vipr2,Serpinf1_Aqp5_Vip,Serpinf1_Clrn1,Sncg_Gpr50,Sncg_Slc17a8,Sncg_Vip_Itih5,Sncg_Vip_Nptx2,Sst_Calb2_Necab1,Sst_Calb2_Pdlim5,Sst_Chodl,Sst_Chrna2_Glra3,Sst_Chrna2_Ptgdr,Sst_Crh_4930553C11Rik,Sst_Crhr2_Efemp1,Sst_Esm1,Sst_Hpse_Cbln4,Sst_Hpse_Sema3c,Sst_Mme_Fam114a1,Sst_Myh8_Etv1,Sst_Myh8_Fibin,Sst_Nr2f2_Necab1,Sst_Nts,Sst_Rxfp1_Eya1,Sst_Rxfp1_Prdm8,Sst_Tac1_Htr1d,Sst_Tac1_Tacr3,Sst_Tac2_Myh4,Sst_Tac2_Tacstd2,Vip_Arhgap36_Hmcn1,Vip_Chat_Htr1f,Vip_Col15a1_Pde1a,Vip_Crispld2_Htr2c,Vip_Crispld2_Kcne4,Vip_Gpc3_Slc18a3,Vip_Igfbp4_Mab21l1,Vip_Igfbp6_Car10,Vip_Igfbp6_Pltp,Vip_Lect1_Oxtr,Vip_Lmo1_Fam159b,Vip_Lmo1_Myl1,Vip_Ptprt_Pkp2,Vip_Pygm_C1ql1,Vip_Rspo1_Itga4,Vip_Rspo4_Rxfp1
Lamp5_Fam19a1_Pax6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp5_Fam19a1_Tmem182,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Lamp5_Krt73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp5_Lhx6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp5_Lsp1,0.0,0.05,0.0,0.0,0.625,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp5_Ntn1_Npy2r,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Lamp5_Plch2_Dock5,0.0,0.07142857142857142,0.0,0.0,0.39285714285714285,0.14285714285714285,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571
Pvalb_Akr1c18_Ntf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Calb1_Sst,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Gabrg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
