Cell ID,Afterhyperpolarization (mV),Age (postnatal days),CTKE T type,CTKE T type confidence,CTKE T type top-3 (Top three mapping M1 cell types from CTKE with bootstrap-based confidence of mapping to each type),Cre (+ or -),ISI adaptation index,Inferred layer,Max number of APs,Membrane time constant (ms),Mouse genotype,RNA family (subclass),Sex,Spike frequency adaptation,Targeted layer,Upstroke-to-downstroke ratio,VISp Viewer T type,VISp Viewer T type top-3 (Top three mapping VISp/ALM cell types from Tasic et al 2018 and used in the VISp Viewer with bootstrap-based confidence of mapping to each type),VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
20171204_sample_2,3.2163131982088,36,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (3.1%), L6 CT Pou3f2 (2.4%)",PV-,2.14833080424886,L5,16,9.70370709498407,Pvalb-Cre/wt; Ai9/wt,ET,M,0.777777777777777,L5,3.43258028356053,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (99.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20171204_sample_4,6.44145533442497,36,L5 IT_2,0.52,"L5 IT_2 (51.9%), L5 IT_4 (9.1%), L6 CT Pou3f2 (8.3%)",PV-,1.15363735070575,L5,15,7.27796176988683,Pvalb-Cre/wt; Ai9/wt,IT,M,0.875,L5,3.89301414017856,L6 IT VISp Penk Fst,"L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)",L6IT,L6IT_IT,L6IT_IT_VISp,L5IT_2,L5IT_2_IT_2,L5IT_2_IT_2,unk,unk,unk
20171204_sample_5,0.62066875398159,36,L5 IT_1,0.97,L5 IT_1 (97.0%),PV-,1.19279279279279,L5,19,6.87118890734487,Pvalb-Cre/wt; Ai9/wt,IT,M,0.727272727272727,L5,3.97128884281914,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20171204_sample_6,-4.59544546902179,36,L5 ET_4,0.94,"L5 ET_4 (94.0%), L5 ET_2 (5.3%)",PV-,2.31264193792581,L5,21,4.27946230347664,Pvalb-Cre/wt; Ai9/wt,ET,M,0.75,L5,3.5274534743365,L5 PT ALM Npsr1,L5 PT ALM Npsr1 (99.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_4,L5ET_4_ET_4,L5ET_4_ET_4,unk,unk,unk
20171207_sample_1,4.9120970070362,80,L5 ET_1,0.91,"L5 ET_1 (90.7%), L5 ET_4 (5.7%)",SST-,19.1780821917808,L5,31,10.1433955658264,Sst-IRES-Cre/wt; Ai9/wt,ET,F,0.823529411764705,L5,2.60188304195941,L5 PT VISp Krt80,"L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20171207_sample_2,-1.73130631446838,80,L5 ET_1,0.9,"L5 ET_1 (89.7%), L5 ET_2 (5.4%)",SST-,35.181818181818,L5,48,9.52098808171799,Sst-IRES-Cre/wt; Ai9/wt,ET,F,0.777777777777777,L5,2.75452399936054,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (96.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20171207_sample_6,11.5939974784851,80,L5 IT_1,0.94,"L5 IT_1 (94.4%), L5 ET_1 (1.7%)",SST-,1.25262054507337,L5,28,12.1714926897685,Sst-IRES-Cre/wt; Ai9/wt,IT,F,0.866666666666666,L5,2.98784458969122,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20171207_sample_7,12.1408477425575,80,L5 IT_1,0.49,"L5 IT_1 (49.0%), L5 IT_2 (42.9%), L6 IT_1 (5.1%)",SST-,1.27576974564926,L5,29,11.9767639753418,Sst-IRES-Cre/wt; Ai9/wt,IT,F,0.866666666666666,L5,3.00397737700264,L5 IT ALM Gkn1 Pcdh19,"L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20171219_sample_1,-2.86733731627464,61,L4/5 IT_2,0.99,L4/5 IT_2 (99.1%),PV-,1.89893617021276,L5,12,22.3246638111829,Pvalb-Cre/wt; Ai9/wt,IT,M,0.571428571428571,L5,5.49502556590652,L5 IT ALM Lypd1 Gpr88,L5 IT ALM Lypd1 Gpr88 (96.0%),L5IT,L5IT_IT,L5IT_IT_ALM,L4/5,L4/5_IT_2,L4/5_IT_2,unk,unk,unk
20171219_sample_2,-0.864814966917038,61,L5 IT_1,0.99,L5 IT_1 (99.4%),PV-,1.93333333333333,L5,18,22.1074187810089,Pvalb-Cre/wt; Ai9/wt,IT,M,0.8,L5,4.92478745865238,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
