Cell ID,AP amplitude (mV),AP width (ms),Adaptation ratio,After hyperpolarization (mV),Initial firing frequency (Finit) (Hz),Input resistance (MΩ),Rebound APs (number),Resting membrane potential (mV),Sag ratio,Steady-state firing frequency (Fss) (Hz)
Q1C1,76.849,0.5599999999998939,0.4240506329113924,8.960999999999999,158.0,688,4,-56.318,-0.3009,67.0
Q1C2,81.851,0.46000000000001595,0.506891278659875,9.685000000000002,146.9219844262695,98,0,-64.506,-0.1811,74.47347254907798
Q1C3,86.053,0.7700000000000484,0.47226059220935757,10.073,53.18017443097217,439,0,-67.771,-0.0251,25.114900670567852
Q1C4,86.34100000000001,0.7800000000000029,0.49305100977040744,10.073,92.19705584068353,257,0,-67.771,-0.0555,45.45785148010766
Q1C5,78.473,0.45999999999990493,0.3586080586080615,12.36,191.52196118488104,338,5,-64.913,-0.2972,68.6813186813187
Q1C6,73.299,0.5500000000000504,0.2138645934564301,5.748999999999995,181.76310209027577,263,0,-65.543,-0.0854,38.87269193391643
Q1C7,88.09,0.6090000000000817,0.31517099065891657,7.439999999999998,149.94002399040363,592,4,-59.457,-0.0321,47.25674590047723
Q1C8,58.881,0.6900000000000239,0.13625921405989133,2.3089999999999975,185.81604211830327,389,6,-59.234,-0.1476,25.31914785875967
Q1C9,81.161,0.8600000000000274,0.5986732446037736,12.662999999999997,69.95452955578882,313,0,-65.32,-0.0617,41.87990518389467
Q1C10,90.77000000000001,0.4109999999999947,0.19773371390025718,4.890000000000001,190.93686354378815,349,5,-61.802,-0.0406,37.75465514897985
Q1C11,82.411,0.4300000000001525,0.23164933618185699,10.729999999999997,191.33873333758532,1125,9,-66.337,-0.141,44.32349056352899
Q1C12,78.795,0.7300000000000084,0.23331118103401466,8.081999999999994,145.3277139950591,594,6,-63.488,-0.094,33.90658058916074
Q1C13,79.37299999999999,0.6200000000000094,0.4716981132075472,12.988,106.0,831,3,-61.318,-0.2256,50.0
Q1C14,78.47300000000001,0.39000000000000146,0.4529678161772883,13.222999999999999,204.87604998975675,125,0,-66.744,-0.0276,92.80225695088907
Q1C15,90.34100000000001,0.45000000000006146,0.5797575215351636,15.873999999999995,148.3826293401914,205,0,-64.884,-0.3203,86.02594542514021
Q1C16,67.553,0.41999999999997595,0.4513888888888889,11.377000000000002,144.0,474,2,-67.422,-0.0867,65.0
Q1C17,65.77000000000001,0.45100000000020124,0.7266209751725998,17.939999999999998,208.44913841022847,134,0,-64.38,-0.1306,151.46351622552845
Q1C18,79.91,0.41400000000002546,0.6992545924067319,20.110000000000007,130.95861707700377,298,1,-65.349,-0.2264,91.57341440632955
Q1C19,70.47,0.5370000000000097,0.30414746543778803,7.210000000000001,217.0,128,0,-61.434,-0.1084,66.0
Q1C20,79.57,0.6269999999999887,0.4727272727272727,9.969999999999999,165.0,195,0,-67.965,-0.1487,78.0
Q1C21,84.68,0.4649999999999932,0.4637754075266655,10.86,216.96680407897628,187,0,-66.376,-0.048,100.62386798148542
Q1C22,92.55799999999999,0.31000000000003247,0.7696556803535265,14.660000000000004,149.52153110047786,153,0,-58.256,-0.314,115.08009574663926
Q1C23,88.64,0.29399999999996096,0.4912305717952346,15.79,290.2757619738772,191,0,-63.508,-0.4026,142.5923285327251
Q1C24,77.864,0.46000000000001595,0.3360578708440384,6.320999999999998,169.1379601962,658,1,-65.93,-0.4894,56.84014278243868
Q1C25,64.053,0.6300000000000194,0.24106132477638775,6.9780000000000015,120.57393191591983,594,6,-60.882,-0.331,29.065711761149615
Q1C26,84.586,0.45000000000006146,0.3783736798644044,8.078000000000003,229.72662531587142,67,0,-65.95,-0.1517,86.9225085835975
Q1C27,88.797,0.37000000000003697,0.5474444196339089,12.220000000000006,156.87915076086387,237,0,-68.721,-0.1877,85.88261564094161
Q1C28,81.971,0.360000000000138,0.3811717358686402,15.297000000000004,275.9128115515464,69,0,-70.766,-0.1619,105.17016532749994
Q1C29,76.114,0.4510000000000347,0.6865047520785234,13.603000000000002,95.42288240720109,131,0,-65.31,-0.0903,65.50826222957367
Q1C30,73.95,0.9629999999999916,0.4209323288906059,11.479999999999997,63.73486297004462,260,0,-60.097,-0.2107,26.82806430150452
Q1C31,85.723,0.35999999999997145,0.42369730890766083,12.122,243.72410431391634,62,0,-71.802,-0.1602,103.26524711373636
Q1C32,96.691,0.49000000000010147,0.31091010765807375,4.617999999999995,188.6673794101007,565,6,-63.76,-0.115,58.65859524396105
Q1C33,65.794,0.5080000000000084,0.6286157332856209,9.747,71.15749525616694,291,0,-66.705,-0.0863,44.73072105922348
Q1C34,83.072,0.42999999999993044,0.3497199951890192,10.634999999999998,125.82309273162022,347,0,-63.605,-0.1511,44.00285138476974
Q1C35,97.038,0.43999999999999595,0.41910701630049285,5.492000000000004,270.56277056277224,178,0,-61.657,-0.3416,113.39475549255829
Q1C36,89.993,0.36999999999998145,0.561045221031261,15.219000000000001,226.09088853719427,92,0,-68.488,-0.3382,126.84721253250434
Q1C37,92.161,0.41000000000002146,0.6197212015660297,15.621000000000002,171.36002741760498,92,0,-71.474,-0.2061,106.19544209162596
Q1C38,87.88300000000001,0.45999999999996044,0.23271669802790737,7.1640000000000015,140.01190101158593,494,5,-68.818,-0.1169,32.583107288026504
Q1C39,90.422,0.8400000000000629,0.40806575941970336,11.159999999999997,65.28835690968438,212,0,-64.671,-0.1402,26.641942943614993
Q1C40,85.085,0.45000000000000595,0.5803873207271393,15.234000000000002,118.04517195246719,117,0,-64.874,-0.1413,68.51192107426688
Q1C41,83.07300000000001,0.6200000000000094,0.4954128440366973,13.222000000000001,109.0,949,4,-58.488,-0.162,54.0
Q1C42,81.393,0.5399999999999849,0.50625,15.875,160.0,595,4,-60.32,-0.3703,81.0
Q1C43,74.464,0.41000000000002146,0.34536773124802056,12.849000000000004,211.61035480002826,191,3,-67.878,-0.2061,73.08338814587444
Q1C44,88.61699999999999,0.42999999999998595,0.37141548598697155,9.183999999999997,159.10898965791463,250,0,-61.085,-0.2364,59.095542718690396
Q1C45,78.473,0.3500000000000725,0.42237155477217114,21.558000000000007,186.3006893125507,194,0,-66.948,-0.1407,78.68811180006925
Q1C46,80.816,0.6199999999998429,0.2869061759423432,9.524999999999999,132.0,596,4,-65.097,-0.108,37.8716152243893
Q1C47,76.267,0.46000000000001595,0.6087561562034641,14.678000000000004,92.42428910317643,176,0,-68.314,-0.1731,56.263854974287405
Q1C48,91.83500000000001,0.38000000000004697,0.40015671562051164,19.073999999999998,118.67745840355104,196,1,-66.279,-0.4239,47.48958197295487
Q1C49,72.29400000000001,0.9200000000000319,0.22723036200275923,2.843999999999994,117.19207781553949,831,7,-65.543,-0.0011,26.629598265880567
Q1C50,69.84299999999999,0.5700000000000149,0.2716660933379208,5.109999999999999,168.83336147222658,131,0,-65.213,-0.0478,45.86629973626883
Q1C51,77.792,0.6599999999998829,0.18444001628420126,6.381999999999998,116.1710037174728,528,4,-67.674,-0.235,21.42658181740269
Q1C52,79.09,0.5100000000000104,0.4057971014492754,10.590000000000003,207.0,128,0,-66.376,-0.0633,84.0
Q1C53,67.888,0.5100000000000104,0.3876651982378855,8.418,227.0,603,5,-67.054,-0.1911,88.0
Q1C54,95.72,0.38000000000004697,0.4662296143417954,10.923000000000002,260.3940630153607,94,0,-68.953,-0.0724,121.40342357654478
Q1C55,85.27199999999999,0.6399999999999739,0.44701101486472156,14.021,128.16131237183816,222,0,-66.434,-0.204,57.28951830972997
Q1C56,75.043,0.5299999999999749,0.36721181360569843,12.700000000000003,170.63875774984345,341,5,-63.285,-0.396,62.66056770474344
Q1C57,83.76599999999999,0.36999999999998145,0.4970926149610997,8.213000000000001,226.0397830018063,123,0,-64.302,-0.1751,112.36270681760743
Q1C58,94.35,0.3509999999999902,0.4377221960044067,17.110000000000007,215.62567383022972,87,0,-65.523,-0.0985,94.38414346389808
Q1C59,84.18100000000001,0.5299999999999749,0.7546666056403558,16.417,75.81117962195493,409,0,-65.95,-0.2037,57.21216559489204
Q1C60,67.837,0.41000000000002146,0.3800089287088756,7.473999999999997,202.55215718047523,324,4,-70.349,-0.6423,76.97162825782418
Q1C61,91.32,0.5310000000000592,0.3121620800680392,7.8799999999999955,145.95699133988546,610,5,-59.874,-0.2811,45.56223801713143
Q1C62,58.303,0.5600000000000049,0.38539570549607133,7.792999999999999,161.15169746454643,323,4,-59.893,-0.22,62.10717213623832
Q1C63,84.181,0.520000000000076,0.29591836734693877,8.418,196.0,652,4,-65.397,-0.1433,58.0
Q1C64,68.987,0.5199999999999649,0.35664335664335667,9.486000000000004,143.0,592,4,-59.477,-0.216,51.0
Q1C65,76.973,0.6300000000000194,0.5211668982740214,6.009,144.91353492416192,232,1,-60.155,-0.2118,75.52413751434955
Q1C66,75.023,0.6900000000000239,0.6676705715614409,18.684000000000005,82.91873963515758,600,1,-64.099,-0.144,55.36240228535996
Q1C67,87.03,0.6579999999999919,0.24803301395096508,4.010000000000005,143.92630972941834,534,5,-56.531,-0.0142,35.69847638902774
Q1C68,86.62899999999999,0.6600000000000494,0.5272984905158355,12.951,88.01009182386252,293,0,-69.884,-0.1918,46.407588568882794
Q1C69,92.76599999999999,0.26999999999999247,0.5242780069819064,9.154000000000003,345.9010722933269,88,0,-62.442,-0.3495,181.34832479484976
Q1C70,66.03999999999999,0.35199999999996345,0.48271792277861864,8.969999999999999,349.2839678658767,78,0,-67.442,-0.1988,168.6056314280898
Q1C71,92.86099999999999,0.45999999999990493,0.45155931435475183,13.433,139.3534002229655,173,0,-62.791,-0.2368,62.92632585768562
Q1C72,83.916,0.39999999999995595,0.41035643965184065,7.746000000000002,179.37219730941715,332,4,-60.736,-0.1271,73.60653626041989
Q1C73,63.998,0.5800000000000249,0.7181208053691275,16.355000000000004,149.0,455,1,-63.159,-0.1884,107.0
Q1C74,80.009,0.5499999999999949,0.40113844769715223,12.088000000000001,107.82833728703898,369,3,-65.32,-0.2451,43.25409183708778
Q1C75,90.97,0.6499999999999839,0.441686289900576,12.219000000000001,79.3356957740519,605,0,-58.837,-0.0921,35.04148912312179
Q1C76,70.93,0.6700000000000039,0.46170276941638455,4.619999999999997,99.99333377774823,649,3,-60.814,-0.1709,46.16719912836327
Q1C77,95.91,0.360000000000138,0.6244131455399061,19.681999999999995,213.0,133,0,-68.256,-0.2704,133.0
Q1C78,82.31200000000001,0.5499999999999949,0.4801731516498903,9.21,85.42384464250118,229,0,-68.76,-0.2241,41.018236708040384
Q1C79,74.736,0.35999999999991594,0.5763836738361597,9.485999999999997,167.03786191536773,90,0,-64.506,-0.3116,96.2778965205168
Q1C80,85.33,0.5499999999999949,0.45072569913165006,10.903000000000006,79.65377160608554,624,3,-64.099,-0.0953,35.90200189562568
