Cell ID,AP Threshold (mV),Imax,Sex,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q1C1,-37.896,110.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C2,-48.384,360.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C3,-43.547,120.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C4,-43.835,320.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C5,-44.583,120.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C6,-44.295,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C7,-45.0,115.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C8,-42.676,80.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C9,-37.216,240.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C10,-46.25,175.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C11,-50.209,45.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C12,-45.273,85.0,M ,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C13,-44.985,60.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C14,-46.02,380.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C15,-42.676,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C16,-42.637,115.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C17,-40.27,510.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C18,-39.73,200.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C19,-37.6,530.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C20,-47.64,310.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C21,-48.72,320.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C22,-41.421,260.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C23,-44.87,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C24,-50.069,155.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C25,-45.57,70.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C26,-48.973,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C27,-47.672,190.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C28,-46.428,750.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C29,-40.399,320.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C30,-33.6,260.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C31,-51.335,800.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C32,-54.798,130.0,F,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C33,-36.533,120.0,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C34,-45.158,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C35,-47.97,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q1C36,-49.939,,M,unk,unk,unk,unk,unk,unk,unk,unk,unk
