Cell ID,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),After hyperpolarization (mV),Burstiness,ISI Fano factor,ISI average adaptation index,ISI coefficient of variation,Input resistance (MΩ),Latency (ms),Latency @ +20pA current (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Wildness
Q2C1,0.597693360882263,67.8407736122608,0.956893204856615,0.976566789041423,0.108046355643216,-29.2013883590698,0.920000000000004,11.4133954048156,0.206833435021354,0.00106734503476675,1.23000318612857,0.189808609574594,68.4924156442284,117.76,73.96,0.312534272347193,0,-65.1976516649127,232.727272727272,0.0,1.0437420676999,0.0,0
Q2C2,4.31328831828803,77.910766005516,0.950095501181874,0.985607174116235,0.33733391725752,-41.4566062390804,0.719999999999998,9.00430604815483,0.0,0.00162116531128884,1.08720657916536,0.285862647120594,174.088761183122,35.44,22.8,7.99567617995756,3,-54.8358585953712,40.0,25.0295435230433,1.37116992579936,0.27916,0
Q2C3,1.04196620752537,79.4721208512783,0.962560811189202,0.981153256209173,0.132234614747074,-25.7657952606678,0.840000000000007,10.3708431124687,0.401333333333333,0.00304890355912743,1.69916801854018,0.295823567709898,42.5507538540968,56.96,42.8,0.242032879406963,0,-53.8478168189525,261.818181818181,0.0,1.0920409355221,0.0,0
Q2C4,0.638882365357033,77.5579679757356,0.903977212351018,0.982024175038891,0.106776096928938,-25.0453185290098,0.880000000000019,7.73765332996845,0.72514619883041,0.00323678286701869,1.77941122490315,0.323117418795677,115.072192835311,47.0,34.48,1.78208104074994,0,-55.8759205251932,163.333333333333,0.0,1.16028656730776,0.0,0
Q2C5,1.94286205630677,67.0306328684091,0.95381158424276,0.989482582151133,0.209720138893305,-36.6484634578228,0.519999999999992,18.2714499533176,0.0,0.000357738980218909,1.24945579035037,0.185167297566202,164.452489214638,38.84,26.88,4.42563776373703,0,-61.9307631671428,98.1538461538461,44.1920599041878,1.25996197209954,0.46924,0
Q2C6,7.40953791696514,68.2757534086704,0.910306957502355,0.940719899042629,0.431784685168519,-31.8246968090534,0.759999999999982,7.35055655241012,0.145616641901931,0.000723831689901393,1.88268816542393,0.149088867718093,40.4453510774506,66.96,56.76,0.292756386641407,0,-63.0688280895352,380.0,0.0,1.11258339582931,0.0,0
Q2C7,0.829559789804801,71.3513810187578,0.902332133997853,0.983260793194136,0.128829009223155,-40.2360521256923,0.560000000000004,3.94991040229797,0.640086206896551,0.0101510420245902,1.19311768065447,0.584946033552355,195.417035462955,56.2,24.96,2.90627791507144,0,-63.7528482466936,80.0,0.0,1.09916721147198,0.0,0
Q2C8,0.639341163697175,84.6146736294031,0.858432127881433,0.99078390346106,0.103118321792793,-30.9178214520216,0.960000000000016,5.30905090272426,0.431118314424635,0.0015013760775862,1.44557098595104,0.224851489360988,93.9085939228534,79.28,51.28,1.0591601611074,0,-62.7237042322754,140.0,0.0,1.09556262121405,0.0,0
Q2C9,1.40357219317202,77.8391361236572,0.90531781534529,0.987392813926928,0.176196921424965,-42.006641626358,0.600000000000017,12.692779302597,0.0,0.00243180023228803,1.11593402352832,0.37579186484616,176.887801251241,81.4799999999999,37.9599999999999,5.09372841390285,0,-62.5719545379281,53.9622641509434,41.5018423923851,1.2645546505084,0.41028,0
Q2C10,0.503588058687245,78.2002266496419,0.974753639820469,0.990296720927663,0.0920102305421033,-29.5928101986646,0.960000000000016,8.63122753798961,0.226312613156306,0.00169997766450947,1.12895852637159,0.234342287799409,68.0277259133401,69.76,48.1999999999999,2.18024751361838,0,-55.1294300556182,102.5,0.0,1.19863065574081,0.0,0
