Cell ID,After depolarization (mV),ISI adaptation index,Max number of APs,Membrane time constant (ms),Sex,Spike frequency adaptation,Upstroke-to-downstroke ratio,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q2C1,0.0,1.46492985971943,21,12.3346039050036,F,0.75,2.30968609686235,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C2,0.0,1.24899598393574,31,13.2858854618995,M,0.666666666666666,1.57815262012748,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C3,0.0,2.4560606060606,17,11.1565235124677,F,0.545454545454545,2.6043144596029,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C4,0.0,2.86491935483871,19,14.4046720848719,F,0.583333333333333,2.3099417680713,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C5,0.0,1.11057108140947,58,10.6503208899102,M,0.838709677419354,1.12843394294826,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C6,0.0,1.55357142857142,18,9.34933207877503,M,0.888888888888888,1.94505173359834,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C7,3.34543734788894,1.32142857142857,20,11.4797313830337,F,0.666666666666666,1.35736767710826,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C8,0.0,2.04347826086956,21,12.4562573198388,M,0.75,3.11048062519089,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C9,0.0,1.14814814814814,35,15.6275717508713,M,0.59090909090909,1.42125530387472,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C10,0.0,1.50031230480949,20,15.7106257495917,F,0.818181818181818,2.73825623477447,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C11,0.0,1.73649148778682,27,7.95284706131825,M,0.857142857142857,2.00947248971554,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C12,0.0,1.03715170278638,49,13.6397373693287,M,0.633333333333333,1.23016986299705,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C13,0.0,1.25418060200668,41,11.7233072652726,M,1.05,1.20512128578333,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C14,0.0,1.07826086956521,22,15.581882575646,M,0.571428571428571,1.62157526770416,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C15,0.0,1.16535433070866,7,17.1985302744198,M,0.166666666666666,1.15495857459177,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C16,0.0,1.44340505144995,85,10.6932939275222,M,0.866666666666666,1.12505773020881,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C17,0.0,1.20752895752895,42,10.7254744072969,F,0.576923076923076,1.28760969926313,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C18,0.0,1.03387978142076,66,16.5984575835111,M,0.783783783783783,1.05781423129322,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C19,0.0,1.2840800762631,27,12.1273010575208,F,0.857142857142857,2.75143215160109,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C20,0.0,1.17123287671232,25,14.9419796058006,M,0.6,2.03705349278745,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C21,0.0,0.906698564593301,105,13.21533804935,M,0.962264150943396,0.851256742676006,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C22,4.87411767244339,1.81739130434782,21,10.1193645094408,F,0.909090909090909,1.99303425723599,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C23,0.0,1.14763231197771,17,19.49653686387,M,0.545454545454545,1.37286889539913,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C24,0.0,1.07207207207207,100,5.96097063612767,M,0.903846153846153,0.927261973250824,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C25,0.0,1.68016194331983,9,9.2660135344903,F,0.285714285714285,2.58180345684173,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C26,0.0,1.36601307189542,30,15.1430720985865,M,0.578947368421052,1.55001390142581,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C27,0.0,1.07065217391304,145,4.56273149601651,M,0.894736842105263,0.840626449935436,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C28,0.0,1.48275862068965,30,10.5302063105534,F,0.764705882352941,2.01199840331204,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C29,0.0,1.89951690821256,26,9.23802964352044,M,0.857142857142857,2.00238818073991,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C30,0.0,1.29083665338645,65,10.7704346454999,M,0.911764705882352,1.10153433750924,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C31,0.0,1.05400981996726,21,12.103137671288,F,0.909090909090909,2.0308635885099,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C32,0.0,0.966666666666668,87,8.19537004032591,M,0.911111111111111,0.982470871171679,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C33,0.0,3.56888888888888,8,13.2997206887735,F,0.0,2.00052947676392,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C34,0.0,3.24657534246574,22,12.4171424335094,F,0.571428571428571,2.44810725575922,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C35,0.0,2.51225490196078,13,8.92537812511379,F,0.3,2.63846845370867,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C36,0.0,1.38356164383561,35,12.4645497023588,M,0.75,1.20479178626112,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C37,0.0,1.30487804878048,53,10.8535371244928,M,0.793103448275862,1.20410584584829,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C38,0.0,2.04330708661417,27,12.9936973234197,F,0.8,2.02779045127727,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C39,0.0,3.19656019656019,3,10.7716773060206,M,,2.30992029223543,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C40,5.91911002993583,1.2258064516129,19,16.6292204553826,M,0.461538461538461,1.34375316446577,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C41,0.0,1.10344827586207,30,10.3490814753277,F,0.25,0.982807084981679,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C42,0.0,1.34311512415349,25,9.58772984301341,M,0.785714285714285,2.68762937121761,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C43,0.0,1.13779527559054,36,16.8218473813679,M,0.636363636363636,1.35737576184507,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C44,0.0,1.12903225806452,18,12.0698322898653,M,0.384615384615384,1.5621253977108,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C45,0.0,3.53957996768982,20,14.3562954448749,M,0.428571428571428,2.80050274661607,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C46,0.0,1.80961663417803,21,8.98989028600943,F,1.0,2.08784933479639,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C47,0.0,1.23557692307692,33,19.9096723518023,M,0.5,1.68573457194551,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C48,0.0,2.44482758620689,21,14.0083488235313,M,0.75,2.94408493290654,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C49,0.0,1.45091324200913,26,8.85908656477575,F,0.857142857142857,2.28796930189426,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C50,0.0,4.31506849315068,16,10.1443813320285,M,0.6,2.06243256738475,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C51,0.0,1.32207384131971,29,12.4533088088331,M,0.928571428571428,2.90975109756189,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C52,0.0,1.38285714285714,6,14.4003440689205,M,0.0,1.25048086675853,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C53,0.0,1.22068965517241,55,12.0521953160421,F,0.71875,1.24444134819164,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C54,0.0,1.01379310344827,35,13.6169382998251,M,0.59090909090909,1.39199158728174,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C55,0.0,2.10263929618768,22,11.5977372160508,F,0.692307692307692,2.40761013933132,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C56,0.0,1.43307086614173,14,12.576273302767,M,0.0,1.08036710022715,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C57,0.0,1.17302798982188,18,18.4612231471537,M,0.285714285714285,1.63737869278711,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C58,0.0,1.07421875,168,6.17763318661941,M,0.941860465116279,0.750493959408111,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C59,0.0,1.06322580645161,30,6.95939702089489,M,0.8125,2.69026655308968,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C60,0.0,1.19095477386934,10,16.6664235328161,M,0.111111111111111,1.47867351037568,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C61,0.0,1.38048780487804,60,11.3573829895808,M,0.84375,1.26171400680611,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C62,0.0,1.53690851735015,19,12.8792543732939,M,0.9,2.43652233471307,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C63,0.0,1.39080459770115,20,9.47553853668194,F,0.666666666666666,1.18998690914328,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C64,0.0,1.01642036124794,108,9.59266964862019,M,0.928571428571428,0.950161275406214,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C65,0.0,1.04761904761904,91,11.2815492763147,M,0.914893617021276,1.00749254894688,unk,unk,unk,unk,unk,unk,unk,unk,unk
