Cell ID,AP amplitude (mV),AP width (ms),Adaptation ratio,After hyperpolarization (mV),Input resistance (MΩ),Maximal firing frequency (Hz),Number APs rheobase,Rebound APs (number),Resting membrane potential (mV),Sag ratio
Q3C1,116.396,1.03,3.40776410691557,7.66,279.008,47,9,0,-57.04,0.938775510204082
Q3C2,89.085,0.967,2.55378543236455,9.25,210.552796721458,52,14,8,-45.14,0.873311184939092
Q3C3,93.5009,1.75,2.55074160811866,21.21,294.685125350952,35,12,6,-43.95,0.893749293545835
Q3C4,107.819,1.077,1.7207558956739,14.01,405.558,47,15,1,-49.71,0.906958819643251
Q3C5,107.79,1.0638,2.76702455697143,15.743,377.464,43,7,1,-49.04,0.926631316957039
Q3C6,109.756,0.8526,1.85814038956266,17.367,257.035702466965,96,13,4,-54.72,0.897529633322255
Q3C7,93.10896,1.944,,10.86,,23,13,7,-47.12,0.96926117027116
Q3C8,93.714,1.337,1.35416666666667,25.875,247.325,51,6,0,-59.57,0.977705274605764
Q3C9,113.614,0.96,1.9758660957571,15.168,217.252,61,9,1,-56.18,0.894531672983216
Q3C10,93.19793,1.0966,2.12374100719424,7.78,182.961,60,3,0,-61.89,0.976261785912368
Q3C11,91.188,1.25348,1.76813669022048,15.50274,438.025265932083,45,23,8,-40.95,0.851622707044394
Q3C12,112.36,1.1169,3.13844497092397,11.599,338.734,45,4,0,-54.17,0.925116279069767
Q3C13,116.018,1.1969,3.20795503674881,6.96,249.171406030655,50,11,8,-52.4,0.813570205479452
Q3C14,112.98,1.11664,3.20260613703237,8.21,283.969,31,2,1,-53.89,0.931813125695217
Q3C15,112.03,0.78723,2.22484780519064,15.38,203.11,67,1,0,-54.02,0.926334760081099
Q3C16,97.26001,1.3628,1.7662907471806,12.634,346.781,42,8,0,-49.84,0.884973404255319
Q3C17,93.21,0.886,1.67844745976649,6.11,108.975,82,5,0,-52.89,0.977278465034082
Q3C18,100.1927,1.211,3.22156316830085,6.31229,544.564,38,15,4,-43.88,0.928466327108093
Q3C19,101.74,1.358,1.4482793867121,16.595,250.08,53,4,0,-54.02,0.890702004161647
Q3C20,113.8,0.984,2.00878492438075,11.096,225.597,51,4,7,-54.14,0.895743227862509
Q3C21,95.18,1.62499,1.81314854549931,9.856,457.418,41,12,2,-48.83,0.888438800087585
Q3C22,85.57,1.753,1.94243485025282,8.23,471.502125263214,33,16,6,-45.81,0.969957081545065
Q3C23,100.43,1.2399,1.90569196428571,12.573,386.3525390625,46,20,10,-51.45,0.948399814471243
Q3C24,116.297,0.779,1.97997525030937,17.76,363.337,86,1,0,-58.84,0.924311429191065
Q3C25,97.47,1.1069,2.33146458160126,,247.403234243393,85,4,4,-52.61,0.950698883952757
Q3C26,117.76,0.627,1.12795347146492,18.44,196.546,89,16,0,-57.74,0.932552591628714
Q3C27,121.027,0.797,2.10538668718738,18.063,191.621,84,11,0,-56.55,0.897752313794623
Q3C28,121.072,1.08,2.3678203104929,13.46,312.678,43,10,0,-48.46,0.89853747714808
Q3C29,121.638,0.816,2.50953382865409,13.369,220.692,101,11,0,-60.3,0.920090099753298
Q3C30,113.462,1.078,1.77117818889971,18.8618,367.493,51,11,4,-51.39,0.895758759084499
Q3C31,105.989,1.0567,2.2036181678214,14.0999,316.317468881607,53,15,5,-46.14,0.881170018281536
Q3C32,86.427,1.397,2.41476534296029,13.1853,262.085,60,2,0,-56.03,0.935282783633685
Q3C33,117.09,0.7945,1.31174761311748,18.984,255.46,94,11,0,-61.71,0.959527260564166
Q3C34,101.32,1.3868,2.2849533954727,16.666,362.60062456131,30,13,3,-43.61,0.926005824614389
Q3C35,106.62,1.007,1.58296230335411,14.555,297.053,57,10,2,-53.01,0.882477678571429
Q3C36,111.786,1.156,,6.591,333.995,26,6,6,-55.11,0.894930362116992
Q3C37,113.766,0.647,1.32183529411765,23.256,186.123,114,5,0,-54.99,0.974310074040835
Q3C38,118.25,1.022,1.8575535628722,18.368,266.369,57,1,0,-51.88,0.930652486983494
Q3C39,114.68,1.022,2.3363732923122,15.933,267.179,65,7,0,-61.49,0.946462931522354
Q3C40,79.76,1.66,1.14807417974322,19.14,461.126,62,2,0,-54.57,0.897830116672119
Q3C41,88.134,1.36977,2.24951637040552,6.83657,290.941655635834,35,13,8,-43.37,0.890193067134708
Q3C42,119.169,0.935,1.62871723216184,20.329,271.795,54,10,0,-57.95,0.924338096820649
Q3C43,121.918,0.894,1.71094136566056,22.83461,242.147,62,8,0,-57.04,0.879018431204458
Q3C44,118.282,0.984,1.98235709244884,24.688,236.55,64,1,0,-59.78,0.972777589517678
Q3C45,104.395,1.118,1.03442702440601,22.402,325.778,78,13,0,-57.95,0.907863383637808
Q3C46,117.795,0.89832,1.87549194991055,22.835,343.454,48,7,2,-54.02,0.910778985507246
