Cell ID,AP maximum rate of rise (Upstroke) (mV/ms),Brain region,Threshold (mV),VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q3C1,378.417,V1,-37.75,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C2,269.775,S1,-40.37,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C3,155.029,S1,-36.16,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C4,335.69,S1,-43.36,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C5,329.589,V1,-40.527,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C6,341.7968,S1,-42.05,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C7,158.69,S1,-40.16,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C8,146.484,S1,-31.585,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C9,338.134,S1,-41.992,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C10,200.1953,S1,-44.95,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C11,192.87109,S1,-36.04126,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C12,329.589,V1,-38.421,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C13,419.92,S1,-45.53,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C14,322.265,S1,-41.5,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C15,334.472,S1,-39.67,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C16,205.078,S1,-36.926,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C17,249.02,S1,-40.92,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C18,267.33,S1,-42.90771,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C19,205.08,S1,-36.315,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C20,334.47,S1,-43.304,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C21,166.015,S1,-38.574,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C22,151.367,S1,-38.33,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C23,207.519,S1,-42.633,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C24,380.859,S1,-42.48,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C25,234.375,S1,-29.205,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C26,451.66,S1,-42.84,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C27,405.273,S1,-38.177,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C28,374.755,V1,-42.54,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C29,407.71,S1,-43.121,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C30,339.3554,S1,-41.35,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C31,252.6855,S1,-43.029,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C32,151.367,S1,-42.1447,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C33,397.949,S1,-36.956,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C34,200.19,S1,-38.54,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C35,306.396,S1,-40.405,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C36,314.94,S1,-42.449,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C37,408.9355,S1,-37.87,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C38,234.707,S1,-37.292,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C39,305.175,S1,-36.407,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C40,131.84,S1,-38.02,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C41,178.222,S1,-35.827,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C42,349.121,S1,-40.37,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C43,321.044,S1,-41.41,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C44,368.65,V1,-35.034,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C45,255.126,S1,-37.078,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q3C46,368.652,S1,-39.97,unk,unk,unk,unk,unk,unk,unk,unk,unk
