Cell ID,AP maximum rate of rise (Upstroke) (mV/ms),Age (postnatal days),Anatomical Structure,Brain hemisphere,Cortical layer,Fluorescent protein positive,Genotype (full),Latency,Sex,T type assignment probability,T type class,T type class assignment probability,T type subclass,T type subclass assignment probability,VISp Viewer MET type,VISp Viewer T type,tau,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
601506507,215.214197868914,55,VISpm,left,L4,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03444,M,0.94,CGE interneuron,1.0,Vip interneuron,1.0,Vip-MET-2,Vip Gpc3 Slc18a3,11.6886794170896,Vip,Vip_Gpc3,Vip_Gpc3_Slc18a3,unk,unk,unk,Vip,Vip_MET,
601790961,316.987075269815,57,VISpm,left,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02874,F,0.19,MGE interneuron,1.0,Sst interneuron,0.98,,Sst Tac2 Myh4,17.486279430033,Sst,Sst_Tac2,Sst_Tac2_Myh4,unk,unk,unk,unk,unk,unk
601803754,415.131994384678,57,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.09188,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-3,Sst Calb2 Pdlim5,21.3919570692078,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,Sst,Sst_MET,
601808698,423.839979346872,57,VISp,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0137,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-8,Sst Hpse Cbln4,16.6497201697613,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,Sst,Sst_MET,
601810307,381.932591607363,57,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03934,F,0.58,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-3,Sst Calb2 Necab1,11.0444454209576,Sst,Sst_Calb2,Sst_Calb2_Necab1,unk,unk,unk,Sst,Sst_MET,
601811091,110.655321430339,57,VISp,left,L6a,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03712,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-13,Sst Esm1,37.9484936387006,Sst,Sst_Esm1,Sst_Esm1,unk,unk,unk,Sst,Sst_MET,
602231708,268.052523647821,59,VISp,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0136,M,0.88,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-4,Sst Calb2 Pdlim5,35.4241373376663,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,Sst,Sst_MET,
602535278,283.086917227269,60,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03816,M,0.51,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-3,Sst Calb2 Pdlim5,19.4392184941704,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,Sst,Sst_MET,
604626221,297.41758044342,51,VISp,right,L4,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01348,M,0.81,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Gpc3 Slc18a3,14.0429105065562,Vip,Vip_Gpc3,Vip_Gpc3_Slc18a3,unk,unk,unk,unk,unk,unk
604646725,264.28330097205,51,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0251,M,0.75,CGE interneuron,1.0,Vip interneuron,1.0,Vip-MET-1,Vip Pygm C1ql1,18.2203132319023,Vip,Vip_Pygm,Vip_Pygm_C1ql1,unk,unk,unk,Vip,Vip_MET,
605060256,167.967203227688,54,VISal,left,L4,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01926,M,0.43,CGE interneuron,1.0,Vip interneuron,1.0,Vip-MET-4,Vip Lmo1 Myl1,20.6236740702307,Vip,Vip_Lmo1,Vip_Lmo1_Myl1,unk,unk,unk,Vip,Vip_MET,
605160536,242.987993545256,54,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01982,M,0.85,CGE interneuron,1.0,Vip interneuron,1.0,Vip-MET-5,Vip Crispld2 Kcne4,19.1526246829075,Vip,Vip_Crispld2,Vip_Crispld2_Kcne4,unk,unk,unk,Vip,Vip_MET,
